label,distance_label,object_state,mask_area,target_z,floor_margin,mask_norm,timestamp
bottle,1.5,elevated,917,3.7533,-0.2746,0.924374,1783400697.13
bottle,1.5,elevated,4912,1.6605,1.8174,0.969085,1783400698.021
bottle,1.5,elevated,923,3.7446,-0.2668,0.926125,1783400698.026
bottle,1.5,elevated,4915,1.6613,1.8165,0.970632,1783400698.632
bottle,1.5,elevated,927,3.7502,-0.2724,0.932925,1783400698.637
bottle,1.5,elevated,4915,1.6613,1.8165,0.970632,1783400698.678
bottle,1.5,elevated,927,3.7502,-0.2724,0.932925,1783400698.683
bottle,1.5,elevated,4915,1.6613,1.8165,0.970632,1783400698.756
bottle,1.5,elevated,927,3.7502,-0.2724,0.932925,1783400698.763
bottle,1.5,elevated,4915,1.6613,1.8165,0.970632,1783400698.821
bottle,1.5,elevated,927,3.7502,-0.2724,0.932925,1783400698.827
bottle,1.5,elevated,4905,1.6603,1.8176,0.967466,1783400699.432
bottle,1.5,elevated,929,3.7444,-0.2666,0.932032,1783400699.437
bottle,1.5,elevated,4916,1.6607,1.8171,0.970197,1783400700.016
bottle,1.5,elevated,918,3.7506,-0.2728,0.924033,1783400700.021
bottle,1.5,elevated,4916,1.6607,1.8171,0.970197,1783400700.081
bottle,1.5,elevated,918,3.7506,-0.2728,0.924033,1783400700.087
bottle,1.5,elevated,4916,1.6607,1.8171,0.970197,1783400700.157
bottle,1.5,elevated,918,3.7506,-0.2728,0.924033,1783400700.163
bottle,1.5,elevated,4916,1.6607,1.8171,0.970197,1783400700.223
bottle,1.5,elevated,918,3.7506,-0.2728,0.924033,1783400700.23
bottle,1.5,elevated,4911,1.6648,1.8146,0.973996,1783400701.133
bottle,1.5,elevated,928,3.7678,-0.2884,0.9427,1783400701.138
bottle,1.5,elevated,4905,1.6645,1.815,0.972372,1783400701.719
bottle,1.5,elevated,928,3.7661,-0.2867,0.941865,1783400701.724
bottle,1.5,elevated,4910,1.6656,1.8138,0.974687,1783400702.323
bottle,1.5,elevated,915,3.7701,-0.2907,0.930645,1783400702.328
bottle,1.5,elevated,4910,1.6656,1.8138,0.974687,1783400702.388
bottle,1.5,elevated,915,3.7701,-0.2907,0.930645,1783400702.394
bottle,1.5,elevated,4910,1.6656,1.8138,0.974687,1783400702.459
bottle,1.5,elevated,915,3.7701,-0.2907,0.930645,1783400702.466
bottle,1.5,elevated,4906,1.6626,1.8169,0.970358,1783400703.063
bottle,1.5,elevated,940,3.7669,-0.2874,0.954417,1783400703.068
bottle,1.5,elevated,4899,1.6647,1.8147,0.971472,1783400703.657
bottle,1.5,elevated,938,3.7661,-0.2867,0.952013,1783400703.663
bottle,1.5,elevated,4912,1.6652,1.8142,0.974674,1783400704.26
bottle,1.5,elevated,933,3.768,-0.2886,0.947892,1783400704.265
bottle,1.5,elevated,4912,1.6652,1.8142,0.974674,1783400704.32
bottle,1.5,elevated,933,3.768,-0.2886,0.947892,1783400704.326
bottle,1.5,elevated,4904,1.6647,1.8147,0.972501,1783400704.942
bottle,1.5,elevated,942,3.7662,-0.2867,0.95609,1783400704.948
bottle,1.5,elevated,4903,1.6667,1.817,0.974655,1783400705.866
bottle,1.5,elevated,930,3.7519,-0.2682,0.936788,1783400705.87
bottle,1.5,elevated,4907,1.6667,1.817,0.97536,1783400706.466
bottle,1.5,elevated,951,3.7454,-0.2617,0.954632,1783400706.471
bottle,1.5,elevated,4902,1.6662,1.8176,0.973766,1783400707.062
bottle,1.5,elevated,929,3.745,-0.2613,0.932324,1783400707.067
bottle,1.5,elevated,4928,1.6672,1.8165,0.980178,1783400707.657
bottle,1.5,elevated,921,3.7437,-0.26,0.923673,1783400707.662
bottle,1.5,elevated,4928,1.6672,1.8165,0.980178,1783400707.721
bottle,1.5,elevated,921,3.7437,-0.26,0.923673,1783400707.727
bottle,1.5,elevated,4912,1.6656,1.8181,0.975119,1783400708.338
bottle,1.5,elevated,934,3.7468,-0.2631,0.938249,1783400708.343
bottle,1.5,elevated,4912,1.6656,1.8181,0.975119,1783400708.38
bottle,1.5,elevated,934,3.7468,-0.2631,0.938249,1783400708.385
