frame,label,condition,raw_depth,agent_z,target_z,x_diff,z_diff,dist_ground
71,cell phone,30cm,4.811,5.677,4.811,0.901,0.866,1.2497
71,cell phone,30cm,4.811,6.455,4.811,3.561,1.644,3.9222
72,cell phone,30cm,4.811,4.599,4.811,2.387,0.212,2.3964
72,cell phone,30cm,4.811,8.519,4.811,5.964,3.708,7.0227
72,cell phone,30cm,4.811,5.677,4.811,0.901,0.866,1.2497
72,cell phone,30cm,4.811,6.455,4.811,3.561,1.644,3.9222
73,cell phone,30cm,4.9362,4.631,4.936,2.443,0.305,2.462
73,cell phone,30cm,4.9362,5.688,4.936,0.848,0.752,1.1334
73,cell phone,30cm,4.9362,7.33,4.936,4.41,2.394,5.0179
73,cell phone,30cm,4.9362,6.742,4.936,3.921,1.806,4.3169
73,remote,30cm,4.9361,4.631,4.936,2.443,0.305,2.462
73,remote,30cm,4.9361,5.688,4.936,0.848,0.752,1.1334
73,remote,30cm,4.9361,7.33,4.936,4.41,2.394,5.0179
73,remote,30cm,4.9361,6.742,4.936,3.921,1.806,4.3169
74,cell phone,30cm,4.9443,4.631,4.944,2.42,0.313,2.4402
74,cell phone,30cm,4.9443,6.687,4.944,3.818,1.743,4.197
74,cell phone,30cm,4.9443,5.741,4.944,0.875,0.797,1.1836
74,cell phone,30cm,4.9443,6.737,4.944,3.859,1.793,4.2552
75,cell phone,30cm,4.9055,4.628,4.905,2.413,0.277,2.4288
75,remote,30cm,4.9051,4.628,4.905,2.412,0.277,2.4279
75,cell phone,30cm,4.9055,5.713,4.905,0.886,0.808,1.1991
75,cell phone,30cm,4.9055,8.849,4.905,6.798,3.944,7.8593
75,cell phone,30cm,4.9055,5.28,4.905,3.732,0.375,3.7508
75,remote,30cm,4.9051,5.713,4.905,0.887,0.808,1.1998
75,remote,30cm,4.9051,8.849,4.905,6.797,3.944,7.8584
75,remote,30cm,4.9051,5.28,4.905,3.731,0.375,3.7498
76,cell phone,30cm,4.8904,4.615,4.89,2.417,0.275,2.4326
76,cell phone,30cm,4.8904,5.688,4.89,0.875,0.798,1.1842
76,cell phone,30cm,4.8904,7.255,4.89,4.44,2.365,5.0306
77,cell phone,30cm,4.8904,4.615,4.89,2.417,0.275,2.4326
77,cell phone,30cm,4.8904,5.688,4.89,0.875,0.798,1.1842
77,cell phone,30cm,4.8904,7.255,4.89,4.44,2.365,5.0306
78,cell phone,30cm,4.9163,4.527,4.916,2.437,0.389,2.4679
78,cell phone,30cm,4.9163,5.708,4.916,0.873,0.792,1.1787
78,cell phone,30cm,4.9163,8.537,4.916,6.115,3.621,7.1067
78,cell phone,30cm,4.9163,6.603,4.916,3.837,1.687,4.1915
79,cell phone,30cm,4.9163,4.527,4.916,2.437,0.389,2.4679
79,cell phone,30cm,4.9163,5.708,4.916,0.873,0.792,1.1787
79,cell phone,30cm,4.9163,8.537,4.916,6.115,3.621,7.1067
79,cell phone,30cm,4.9163,6.603,4.916,3.837,1.687,4.1915
80,cell phone,30cm,9.5435,5.144,9.543,4.674,4.399,6.4185
80,cell phone,30cm,9.5435,10.151,9.543,1.158,0.608,1.3079
80,cell phone,30cm,9.5435,7.521,9.543,2.78,2.022,3.4376
81,cell phone,30cm,8.7757,5.031,8.776,4.313,3.745,5.712
81,cell phone,30cm,8.7757,9.152,8.776,8.93,0.376,8.9379
81,cell phone,30cm,8.7757,7.126,8.776,5.708,1.65,5.9417
81,cell phone,30cm,8.7757,6.573,8.776,3.409,2.203,4.0589
82,cell phone,30cm,8.7757,5.031,8.776,4.313,3.745,5.712
82,cell phone,30cm,8.7757,9.152,8.776,8.93,0.376,8.9379
82,cell phone,30cm,8.7757,7.126,8.776,5.708,1.65,5.9417
82,cell phone,30cm,8.7757,6.573,8.776,3.409,2.203,4.0589
83,cell phone,30cm,4.972,4.686,4.972,2.12,0.286,2.1392
83,cell phone,30cm,4.972,4.672,4.972,2.114,0.3,2.1352
83,cell phone,30cm,4.972,5.16,4.972,1.185,0.188,1.1998
83,cell phone,30cm,4.972,9.857,4.972,7.766,4.885,9.1746
83,cell phone,30cm,4.972,6.872,4.972,3.441,1.9,3.9307
