timestamp,label,z_val_m,real_w_cm,real_h_cm,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
19:39:01.606,cell phone,0.7124,8.71,17.66,-0.1232,-0.0438,-0.0361,-0.0438,-0.1232,0.1327,-0.0361,0.1327
19:39:01.606,person,0.9652,56.62,59.64,-0.2119,-0.2435,0.3543,-0.2435,-0.2119,0.3529,0.3543,0.3529
19:39:01.936,person,0.9603,56.13,59.24,-0.2088,-0.2413,0.3525,-0.2413,-0.2088,0.3511,0.3525,0.3511
19:39:01.937,cell phone,0.6954,8.36,17.23,-0.1188,-0.0435,-0.0352,-0.0435,-0.1188,0.1288,-0.0352,0.1288
19:39:02.270,cell phone,0.6994,8.41,17.26,-0.1202,-0.043,-0.0361,-0.043,-0.1202,0.1296,-0.0361,0.1296
19:39:02.270,person,0.9619,56.23,59.24,-0.2092,-0.2407,0.3531,-0.2407,-0.2092,0.3517,0.3531,0.3517
19:39:02.270,tie,0.3169,3.78,12.52,-0.1865,-0.1168,-0.1488,-0.1168,-0.1865,0.0084,-0.1488,0.0084
19:39:02.604,cell phone,0.7211,8.74,17.72,-0.1247,-0.0451,-0.0373,-0.0451,-0.1247,0.1321,-0.0373,0.1321
19:39:02.605,person,0.9614,56.2,59.11,-0.2091,-0.2396,0.3529,-0.2396,-0.2091,0.3515,0.3529,0.3515
19:39:02.937,cell phone,0.7187,8.79,17.74,-0.1243,-0.0457,-0.0364,-0.0457,-0.1243,0.1316,-0.0364,0.1316
19:39:02.937,person,0.9664,56.39,59.52,-0.2092,-0.2418,0.3547,-0.2418,-0.2092,0.3534,0.3547,0.3534
19:39:03.271,cell phone,0.7355,8.92,18.15,-0.1272,-0.0468,-0.038,-0.0468,-0.1272,0.1347,-0.038,0.1347
19:39:03.271,person,0.9807,57.43,60.4,-0.2143,-0.2454,0.36,-0.2454,-0.2143,0.3586,0.36,0.3586
19:39:03.271,tie,0.3196,3.81,12.72,-0.1881,-0.1177,-0.15,-0.1177,-0.1881,0.0095,-0.15,0.0095
19:39:03.603,cell phone,0.7179,8.78,17.64,-0.1241,-0.0457,-0.0363,-0.0457,-0.1241,0.1308,-0.0363,0.1308
19:39:03.603,person,0.9635,56.42,59.44,-0.2115,-0.2421,0.3527,-0.2421,-0.2115,0.3523,0.3527,0.3523
19:39:03.928,cell phone,0.7198,8.8,17.76,-0.1245,-0.045,-0.0364,-0.045,-0.1245,0.1326,-0.0364,0.1326
19:39:03.928,person,0.9657,56.55,59.58,-0.211,-0.2427,0.3545,-0.2427,-0.211,0.3531,0.3545,0.3531
19:39:04.273,person,0.959,56.06,59.06,-0.2086,-0.24,0.352,-0.24,-0.2086,0.3507,0.352,0.3507
19:39:04.274,cell phone,0.7414,9.07,18.37,-0.129,-0.0464,-0.0383,-0.0464,-0.129,0.1373,-0.0383,0.1373
19:39:04.604,person,0.9657,56.65,59.48,-0.213,-0.2417,0.3535,-0.2417,-0.213,0.3531,0.3535,0.3531
19:39:04.605,cell phone,0.7495,9.17,18.57,-0.1304,-0.0469,-0.0387,-0.0469,-0.1304,0.1388,-0.0387,0.1388
19:39:04.605,tie,0.3201,3.82,12.68,-0.1884,-0.1179,-0.1502,-0.1179,-0.1884,0.0088,-0.1502,0.0088
19:39:04.938,cell phone,0.7373,9.17,18.35,-0.129,-0.0461,-0.0373,-0.0461,-0.129,0.1373,-0.0373,0.1373
19:39:04.938,person,0.9774,57.13,60.19,-0.2126,-0.2446,0.3587,-0.2446,-0.2126,0.3574,0.3587,0.3574
