label,distance_label,object_state,target_z,footing_floor,floor_margin
book,2.0,elevated,2.2009,1.8732,-0.3277
book,2.0,elevated,2.2009,1.8732,-0.3277
book,2.0,elevated,2.1997,1.9011,-0.2986
book,2.0,elevated,2.2,1.9011,-0.2989
book,2.0,elevated,2.2004,1.8862,-0.3142
book,2.0,elevated,1.8364,1.5588,-0.2777
book,2.0,elevated,1.8362,1.5805,-0.2557
book,2.0,elevated,1.8362,1.5805,-0.2557
book,2.0,elevated,1.8362,1.5805,-0.2557
book,2.0,elevated,1.8357,1.5812,-0.2545
book,2.0,elevated,1.8357,1.5705,-0.2652
book,2.0,elevated,1.8359,1.5701,-0.2658
book,2.0,elevated,1.8359,1.5701,-0.2658
book,2.0,elevated,1.8359,1.5701,-0.2658
book,2.0,elevated,1.8364,1.5812,-0.2552
book,2.0,elevated,2.1857,1.8768,-0.3089
book,2.0,elevated,2.186,1.8926,-0.2934
book,2.0,elevated,2.186,1.8926,-0.2934
book,2.0,elevated,2.1857,1.8765,-0.3092
book,2.0,elevated,2.186,1.8765,-0.3095
book,2.0,elevated,2.186,1.8765,-0.3095
book,2.0,elevated,2.1863,1.8759,-0.3104
book,2.0,elevated,2.1863,1.8759,-0.3104
book,2.0,elevated,2.186,1.8765,-0.3095
book,2.0,elevated,2.186,1.8765,-0.3095
book,2.0,elevated,2.22,1.9019,-0.3181
book,2.0,elevated,2.22,1.9014,-0.3186
book,2.0,elevated,2.22,1.9019,-0.3181
book,2.0,elevated,2.2196,1.9019,-0.3177
book,2.0,elevated,2.22,1.9019,-0.3181
book,2.0,elevated,2.22,1.9019,-0.3181
book,2.0,elevated,2.22,1.9019,-0.3181
book,2.0,elevated,2.22,1.9019,-0.3181
book,2.0,elevated,2.22,1.9019,-0.3181
book,2.0,elevated,2.22,1.9019,-0.3181
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.1948,1.8852,-0.3096
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2097,1.891,-0.3187
book,2.0,elevated,2.2137,1.8921,-0.3216
book,2.0,elevated,2.2137,1.8921,-0.3216
book,2.0,elevated,2.2137,1.8921,-0.3216
book,2.0,elevated,2.2137,1.8921,-0.3216
book,2.0,elevated,2.2137,1.8921,-0.3216
book,2.0,elevated,2.2137,1.8921,-0.3216
book,2.0,elevated,2.2137,1.8921,-0.3216
book,2.0,elevated,2.2137,1.8921,-0.3216
book,2.0,elevated,2.2129,1.8921,-0.3208
book,2.0,elevated,2.2137,1.8921,-0.3216
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2216,1.8985,-0.3231
book,2.0,elevated,2.2255,1.9028,-0.3227
book,2.0,elevated,2.2255,1.9028,-0.3227
book,2.0,elevated,2.2255,1.9027,-0.3228
book,2.0,elevated,2.2255,1.9027,-0.3228
book,2.0,elevated,2.2255,1.9027,-0.3228
book,2.0,elevated,2.2255,1.9027,-0.3228
book,2.0,elevated,2.2255,1.9027,-0.3228
book,2.0,elevated,2.2255,1.9028,-0.3227
book,2.0,elevated,2.2255,1.9028,-0.3227
book,2.0,elevated,2.2255,1.9028,-0.3227
book,2.0,elevated,2.2189,1.8948,-0.3241
book,2.0,elevated,2.2189,1.8948,-0.3241
book,2.0,elevated,2.2189,1.8948,-0.3241
book,2.0,elevated,2.2189,1.8948,-0.3241
book,2.0,elevated,2.2189,1.8948,-0.3241
book,2.0,elevated,2.2189,1.8948,-0.3241
book,2.0,elevated,2.2189,1.8948,-0.3241
book,2.0,elevated,2.2182,1.8948,-0.3234
book,2.0,elevated,2.2189,1.8948,-0.3241
book,2.0,elevated,2.2189,1.8948,-0.3241
book,2.0,elevated,2.232,1.899,-0.333
book,2.0,elevated,2.232,1.899,-0.333
book,2.0,elevated,2.232,1.899,-0.333
book,2.0,elevated,2.2314,1.899,-0.3324
book,2.0,elevated,2.232,1.899,-0.333
book,2.0,elevated,2.2314,1.899,-0.3324
book,2.0,elevated,2.2329,1.9154,-0.3174
book,2.0,elevated,2.2314,1.899,-0.3324
book,2.0,elevated,2.232,1.899,-0.333
book,2.0,elevated,2.232,1.899,-0.333
book,2.0,elevated,2.22,1.8962,-0.3238
book,2.0,elevated,2.2193,1.8962,-0.3231
book,2.0,elevated,2.2193,1.8962,-0.3231
book,2.0,elevated,2.2193,1.8962,-0.3231
book,2.0,elevated,2.2193,1.8962,-0.3231
book,2.0,elevated,2.2193,1.8962,-0.3231
book,2.0,elevated,2.2193,1.8962,-0.3231
book,2.0,elevated,2.2193,1.8962,-0.3231
